ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,167.7,0.35,531766,717880.0,0.74,168.171,169.882,163.726,39.2,1.16,182.26,140.78,175.06,165.36,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-24
AIR.PA,Airbus,Aéronautique,202.7,-0.49,513347,872464.0,0.59,207.64,207.893,189.525,43.7,1.55,221.3,157.42,217.05,201.65,baissier,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-24
ALO.PA,Alstom,Industrie,16.04,0.31,868827,993884.0,0.87,16.038,16.107,19.293,48.3,1.9,30.23,14.72,17.05,15.75,,,0,EMA200 > EMA20 > Prix > EMA9,2026-08-24
MT.AS,ArcelorMittal,Matériaux,62.8,0.35,1225532,1559858.0,0.79,62.579,61.967,50.605,56.4,3.09,65.24,27.42,65.24,56.8,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-24
CS.PA,AXA,Assurance,44.11,0.89,1609301,2309513.0,0.7,44.226,44.415,41.494,46.3,1.13,45.66,36.55,45.66,43.23,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-24
BNP.PA,BNP Paribas,Banque,106.8,-0.65,1493718,1482259.0,1.01,108.569,108.681,93.167,45.7,1.42,113.82,65.12,113.82,105.12,baissier,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-24
EN.PA,Bouygues,BTP/Télécom,45.87,-0.69,556259,564027.0,0.99,46.791,47.345,46.94,35.0,1.5,53.48,35.39,50.2,45.82,,baissière,0,EMA20 > EMA200 > EMA9 > Prix,2026-08-24
CAP.PA,Capgemini,Technologie,111.4,0.22,285417,608338.0,0.47,109.098,106.092,109.902,64.5,2.99,153.05,85.62,111.85,95.94,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-24
CA.PA,Carrefour,Distribution,16.06,1.2,1488950,1726911.0,0.86,15.85,15.897,15.475,53.0,1.16,17.53,11.94,16.2,15.6,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-24
ACA.PA,Crédit Agricole,Banque,19.08,0.08,2802635,4268927.0,0.66,19.394,19.271,17.489,49.7,1.36,20.4,15.29,20.4,18.32,,,0,EMA9 > EMA20 > Prix > EMA200,2026-08-24
