ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,175.58,-0.66,867626,842790.0,1.03,176.305,175.001,162.036,53.9,1.48,182.26,140.78,182.26,171.02,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-23
AIR.PA,Airbus,Aéronautique,204.5,-1.82,1203472,1071176.0,1.12,199.212,196.689,184.443,61.6,2.24,221.3,157.42,210.95,189.22,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
ALO.PA,Alstom,Industrie,16.02,-0.62,1736677,1510402.0,1.15,15.857,15.834,20.045,51.8,2.98,30.23,14.72,16.87,14.93,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-23
MT.AS,ArcelorMittal,Matériaux,57.84,-0.69,1592135,1884938.0,0.84,57.747,57.11,47.758,53.9,3.33,62.6,26.35,59.98,51.24,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
CS.PA,AXA,Assurance,44.76,-0.33,2804705,2539866.0,1.1,44.586,44.042,40.699,68.5,1.16,45.47,36.55,45.47,42.94,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
BNP.PA,BNP Paribas,Banque,103.76,-2.83,2734602,1668274.0,1.64,103.57,102.165,89.083,57.2,2.05,107.18,65.12,107.18,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
EN.PA,Bouygues,BTP/Télécom,47.83,-0.97,561987,731911.0,0.77,47.816,48.024,46.774,46.5,1.69,53.48,35.39,50.34,45.7,,,0,EMA20 > Prix > EMA9 > EMA200,2026-07-23
CAP.PA,Capgemini,Technologie,86.06,-2.8,726624,672631.0,1.08,89.632,90.85,110.866,36.6,3.67,153.05,85.62,95.3,85.62,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-23
CA.PA,Carrefour,Distribution,16.5,-0.87,2286948,2135140.0,1.07,16.558,16.466,15.389,51.4,1.65,17.53,11.94,16.91,15.62,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-23
ACA.PA,Crédit Agricole,Banque,18.03,-1.12,3983378,4076464.0,0.98,17.929,17.731,17.025,59.9,1.49,19.15,15.29,18.29,16.97,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
BN.PA,Danone,Agroalimentaire,68.44,-2.06,2084383,1426690.0,1.46,71.162,71.03,69.699,40.4,1.74,80.14,60.64,74.68,68.12,,baissière,0,EMA9 > EMA20 > EMA200 > Prix,2026-07-23
DSY.PA,Dassault Systèmes,Technologie,18.42,3.74,3872547,1755888.0,2.21,18.15,18.193,21.224,52.3,3.53,30.36,15.82,19.0,17.4,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-23
EDEN.PA,Edenred,Services,26.15,-3.0,1655470,803925.0,2.06,25.963,24.859,21.859,64.6,3.02,27.6,15.23,27.6,21.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
ENGI.PA,Engie,Énergie,27.72,0.58,3461792,2447532.0,1.41,27.228,27.149,25.166,57.4,1.76,29.89,17.2,27.84,26.46,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-23
