ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,171.74,0.15,800173,802203.0,1.0,174.373,174.524,162.63,44.7,1.32,182.26,140.78,182.26,170.12,baissier,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-30
AIR.PA,Airbus,Aéronautique,204.0,-2.81,1508027,1057087.0,1.43,205.069,201.176,185.609,56.0,2.01,221.3,157.42,213.35,190.9,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-30
ALO.PA,Alstom,Industrie,16.01,-2.32,1314000,1344427.0,0.98,16.082,15.975,19.855,50.0,2.66,30.23,14.72,16.87,15.03,,,-4,EMA200 > EMA9 > Prix > EMA20,2026-07-30
MT.AS,ArcelorMittal,Matériaux,59.6,3.15,2398246,1860242.0,1.29,58.431,57.748,48.293,58.0,3.46,62.6,26.35,60.28,53.6,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
CS.PA,AXA,Assurance,45.22,0.47,2977364,2392607.0,1.24,44.988,44.488,40.919,66.3,1.2,45.66,36.55,45.66,43.29,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
BNP.PA,BNP Paribas,Banque,108.84,1.8,1819924,1716818.0,1.06,106.356,104.302,89.979,65.7,2.23,109.34,65.12,109.34,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
EN.PA,Bouygues,BTP/Télécom,49.45,7.13,1189069,663110.0,1.79,47.602,47.776,46.8,58.7,2.09,53.48,35.39,49.77,45.7,,haussière,4,Prix > EMA20 > EMA9 > EMA200,2026-07-30
CAP.PA,Capgemini,Technologie,102.0,-4.76,1277569,734849.0,1.74,97.027,94.397,110.227,61.0,4.65,153.05,85.62,108.75,85.62,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-30
CA.PA,Carrefour,Distribution,16.04,2.26,2066899,2313445.0,0.89,16.126,16.247,15.409,46.3,2.12,17.53,11.94,16.91,15.22,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-30
ACA.PA,Crédit Agricole,Banque,18.78,2.26,5236773,4173675.0,1.25,18.382,18.071,17.101,67.2,1.59,19.15,15.29,18.88,16.97,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
BN.PA,Danone,Agroalimentaire,68.34,-3.17,1627553,1343331.0,1.21,70.506,70.745,69.734,42.3,2.08,80.14,60.64,74.68,68.12,baissier,,0,EMA20 > EMA9 > EMA200 > Prix,2026-07-30
DSY.PA,Dassault Systèmes,Technologie,20.21,-3.81,2059708,2058676.0,1.0,19.759,19.111,21.188,61.8,4.06,30.36,15.82,21.21,17.56,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-30
EDEN.PA,Edenred,Services,28.24,-1.91,654219,874567.0,0.75,27.29,26.024,22.155,70.7,3.47,28.97,15.23,28.97,23.04,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
ENGI.PA,Engie,Énergie,26.07,0.39,2756868,2607442.0,1.06,26.681,26.898,25.237,39.7,2.06,29.89,17.2,27.93,25.94,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-30
EL.PA,EssilorLuxottica,Santé/Optique,163.6,-0.91,987622,599515.0,1.65,165.572,167.276,209.636,42.8,2.76,323.8,160.6,177.95,160.8,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-30
ERF.PA,Eurofins Scientific,Santé,68.6,-0.06,185738,245732.0,0.76,68.393,68.244,64.04,53.2,2.53,74.32,54.86,71.28,64.56,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
RMS.PA,Hermès,Luxe,1550.5,2.78,133161,89755.0,1.48,1617.067,1634.462,1837.198,40.8,3.14,2300.0,1465.5,1709.0,1465.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-30
KER.PA,Kering,Luxe,290.65,-0.75,515730,297450.0,1.73,263.295,257.229,258.011,69.3,3.13,354.2,207.9,292.85,236.2,,,0,Prix > EMA9 > EMA200 > EMA20,2026-07-30
OR.PA,L'Oréal,Cosmétiques,394.0,2.74,569573,295371.0,1.93,382.261,381.13,373.741,62.4,2.14,408.35,338.85,401.0,366.1,haussier,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
LR.PA,Legrand,Industrie,130.7,1.55,832574,627487.0,1.33,132.83,136.28,138.289,35.0,3.04,166.95,121.95,145.9,125.7,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-30
MC.PA,LVMH,Luxe,473.3,1.14,538828,479937.0,1.12,472.597,478.809,511.66,45.9,2.89,654.7,440.0,503.8,449.5,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-30
ML.PA,Michelin,Industrie,34.5,0.47,1634721,1633822.0,1.0,34.595,34.475,31.955,52.6,1.96,35.72,25.51,35.72,33.46,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-30
ORA.PA,Orange,Télécom,17.08,-1.87,4715026,4338531.0,1.09,16.739,16.587,16.168,57.4,2.22,18.81,13.07,17.52,15.62,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
RI.PA,Pernod Ricard,Boissons,67.88,-0.59,735367,639070.0,1.15,65.945,65.093,71.96,60.8,2.72,107.45,58.6,69.56,61.16,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-30
PUB.PA,Publicis,Communication,93.52,-1.58,890635,599025.0,1.49,90.99,89.292,83.933,62.0,3.01,96.04,68.14,96.04,84.22,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
RNO.PA,Renault,Automobile,27.97,0.21,2456850,1259204.0,1.95,26.953,26.645,30.666,61.7,2.8,37.97,24.66,28.29,25.07,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-30
SAF.PA,Safran,Aéronautique,340.3,0.15,483061,591068.0,0.82,334.884,332.962,304.931,57.4,2.59,360.8,262.6,360.8,316.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-30
SGO.PA,Saint-Gobain,Matériaux,76.04,0.64,976865,869074.0,1.12,75.36,75.778,80.461,50.0,2.29,100.75,65.88,81.04,72.22,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-30
SAN.PA,Sanofi,Santé,72.77,-8.95,7029785,2000194.0,3.51,76.773,76.478,79.52,39.3,2.61,91.15,71.25,80.18,72.07,,baissière,0,EMA200 > EMA9 > EMA20 > Prix,2026-07-30
