ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,173.54,-2.05,1350069,808312.0,1.67,175.92,175.168,162.437,48.2,1.24,182.26,140.78,182.26,171.08,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-28
AIR.PA,Airbus,Aéronautique,212.0,1.48,1277149,1101090.0,1.16,204.195,199.929,185.157,67.9,2.04,221.3,157.42,213.35,190.9,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
ALO.PA,Alstom,Industrie,16.33,0.74,946535,1373204.0,0.69,16.027,15.927,19.929,57.2,2.65,30.23,14.72,16.87,14.93,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-28
MT.AS,ArcelorMittal,Matériaux,59.06,1.55,1345510,1864461.0,0.72,58.228,57.529,48.083,57.3,3.28,62.6,26.35,60.28,51.72,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
CS.PA,AXA,Assurance,45.57,0.84,2281238,2621595.0,0.87,44.91,44.348,40.831,75.9,1.07,45.63,36.55,45.63,43.14,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
BNP.PA,BNP Paribas,Banque,108.2,0.58,1604768,1726609.0,0.93,105.438,103.499,89.615,66.4,1.96,108.86,65.12,108.86,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
EN.PA,Bouygues,BTP/Télécom,46.53,-0.89,718096,695197.0,1.03,47.385,47.751,46.777,37.7,1.71,53.48,35.39,48.72,45.7,,,0,EMA20 > EMA9 > EMA200 > Prix,2026-07-28
CAP.PA,Capgemini,Technologie,101.7,6.92,958542,693694.0,1.38,92.955,92.176,110.348,65.1,4.17,153.05,85.62,101.95,85.62,haussier,haussière,0,EMA200 > Prix > EMA9 > EMA20,2026-07-28
CA.PA,Carrefour,Distribution,16.0,-0.56,2023369,2392628.0,0.85,16.262,16.33,15.4,44.3,1.91,17.53,11.94,16.91,15.22,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-28
ACA.PA,Crédit Agricole,Banque,18.67,0.3,3253706,4152362.0,0.78,18.259,17.956,17.071,69.5,1.35,19.15,15.29,18.73,16.97,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
BN.PA,Danone,Agroalimentaire,72.24,2.09,1373689,1337437.0,1.03,71.164,71.042,69.737,56.7,1.79,80.14,60.64,74.68,68.12,haussier,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
DSY.PA,Dassault Systèmes,Technologie,21.01,2.94,2184738,2029211.0,1.08,19.305,18.784,21.2,71.7,3.88,30.36,15.82,21.01,17.56,,haussière,0,EMA200 > Prix > EMA9 > EMA20,2026-07-28
EDEN.PA,Edenred,Services,28.18,4.64,1177683,827231.0,1.42,26.618,25.474,22.025,74.2,3.37,28.19,15.23,28.19,22.18,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
ENGI.PA,Engie,Énergie,26.16,-3.11,4002956,2581917.0,1.55,27.05,27.092,25.221,40.0,1.93,29.89,17.2,27.93,26.16,baissier,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-07-28
EL.PA,EssilorLuxottica,Santé/Optique,168.65,1.96,543146,578417.0,0.94,166.307,167.933,210.523,49.5,2.15,323.8,160.6,177.95,160.8,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-28
ERF.PA,Eurofins Scientific,Santé,68.52,2.39,327663,246900.0,1.33,68.266,68.161,63.944,52.9,2.65,74.32,54.86,71.28,64.56,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-28
RMS.PA,Hermès,Luxe,1695.5,2.2,94646,71641.0,1.32,1665.01,1657.49,1843.399,56.4,2.25,2300.0,1529.0,1709.0,1564.0,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-28
KER.PA,Kering,Luxe,250.5,3.15,317814,264249.0,1.2,247.358,249.591,257.302,50.0,2.67,354.2,207.9,258.4,236.2,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-28
OR.PA,L'Oréal,Cosmétiques,382.9,1.96,330806,319489.0,1.04,378.283,379.383,373.439,53.5,1.75,408.35,338.85,393.5,366.1,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-28
LR.PA,Legrand,Industrie,129.15,-2.08,942923,577343.0,1.63,134.528,137.728,138.464,30.0,2.7,166.95,121.95,148.1,128.45,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-28
MC.PA,LVMH,Luxe,470.3,0.75,876705,458380.0,1.91,473.538,480.593,512.503,43.8,2.59,654.7,440.0,503.8,449.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-28
