ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,171.48,-1.19,689468,818250.0,0.84,175.032,174.817,162.527,44.0,1.3,182.26,140.78,182.26,170.12,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-29
AIR.PA,Airbus,Aéronautique,209.9,-0.99,853081,1096854.0,0.78,205.336,200.879,185.403,64.5,1.93,221.3,157.42,213.35,190.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
ALO.PA,Alstom,Industrie,16.39,0.37,1069927,1349479.0,0.79,16.1,15.971,19.894,58.3,2.56,30.23,14.72,16.87,15.03,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-29
MT.AS,ArcelorMittal,Matériaux,57.78,-2.17,1880034,1841873.0,1.02,58.139,57.553,48.18,52.0,3.32,62.6,26.35,60.28,52.04,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-29
CS.PA,AXA,Assurance,45.01,-1.23,2625835,2389463.0,1.1,44.93,44.411,40.873,64.1,1.18,45.66,36.55,45.66,43.29,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
BNP.PA,BNP Paribas,Banque,106.92,-1.18,1482458,1713496.0,0.87,105.735,103.825,89.787,61.9,2.05,108.92,65.12,108.92,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
EN.PA,Bouygues,BTP/Télécom,46.16,-0.8,611399,671451.0,0.91,47.14,47.6,46.771,35.5,1.75,53.48,35.39,48.53,45.7,,,0,EMA20 > EMA9 > EMA200 > Prix,2026-07-29
CAP.PA,Capgemini,Technologie,107.1,5.31,1320549,702820.0,1.88,95.784,93.597,110.316,70.3,4.27,153.05,85.62,107.85,85.62,,haussière,0,EMA200 > Prix > EMA9 > EMA20,2026-07-29
CA.PA,Carrefour,Distribution,15.69,-1.97,1800748,2377991.0,0.76,16.147,16.269,15.403,40.1,1.99,17.53,11.94,16.91,15.22,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-29
ACA.PA,Crédit Agricole,Banque,18.37,-1.58,4138822,4127605.0,1.0,18.281,17.996,17.084,61.1,1.44,19.15,15.29,18.75,16.97,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
BN.PA,Danone,Agroalimentaire,70.58,-2.3,2623564,1294475.0,2.03,71.047,70.998,69.745,49.8,1.9,80.14,60.64,74.68,68.12,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-29
DSY.PA,Dassault Systèmes,Technologie,21.01,0.0,1948609,2039640.0,0.96,19.646,18.996,21.198,71.7,3.96,30.36,15.82,21.21,17.56,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-29
EDEN.PA,Edenred,Services,28.79,2.16,960444,852434.0,1.13,27.053,25.79,22.092,76.4,3.46,28.96,15.23,28.96,22.44,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
ENGI.PA,Engie,Énergie,25.97,-0.73,2842821,2622381.0,1.08,26.834,26.985,25.228,38.4,2.0,29.89,17.2,27.93,25.94,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-07-29
EL.PA,EssilorLuxottica,Santé/Optique,165.1,-2.1,1307407,565370.0,2.31,166.065,167.663,210.071,44.7,2.66,323.8,160.6,177.95,160.8,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-29
ERF.PA,Eurofins Scientific,Santé,68.64,0.18,182423,248002.0,0.74,68.341,68.206,63.991,53.4,2.53,74.32,54.86,71.28,64.56,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
RMS.PA,Hermès,Luxe,1508.5,-11.03,427914,72346.0,5.91,1633.708,1643.301,1840.067,35.6,2.98,2300.0,1465.5,1709.0,1465.5,baissier,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-29
KER.PA,Kering,Luxe,292.85,16.91,1125585,255797.0,4.4,256.456,253.711,257.656,70.9,3.06,354.2,207.9,292.85,236.2,haussier,haussière,0,Prix > EMA200 > EMA9 > EMA20,2026-07-29
OR.PA,L'Oréal,Cosmétiques,383.5,0.16,378653,309294.0,1.22,379.327,379.775,373.539,54.0,1.85,408.35,338.85,393.5,366.1,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-29
LR.PA,Legrand,Industrie,128.7,-0.35,1179311,595939.0,1.98,133.363,136.868,138.367,29.5,2.85,166.95,121.95,145.9,126.15,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-29
MC.PA,LVMH,Luxe,467.95,-0.5,684597,472506.0,1.45,472.421,479.389,512.06,42.8,2.78,654.7,440.0,503.8,449.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-29
ML.PA,Michelin,Industrie,34.34,-0.35,2021086,1580201.0,1.28,34.618,34.472,31.928,50.8,1.96,35.72,25.51,35.72,33.46,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-29
ORA.PA,Orange,Télécom,17.4,1.31,5265858,4517869.0,1.17,16.656,16.535,16.159,63.7,2.06,18.81,13.07,17.4,15.62,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
RI.PA,Pernod Ricard,Boissons,68.28,0.74,830479,650999.0,1.28,65.462,64.8,72.017,62.5,2.6,107.45,58.6,68.32,61.16,,haussière,0,EMA200 > Prix > EMA9 > EMA20,2026-07-29
PUB.PA,Publicis,Communication,95.02,1.26,896539,592734.0,1.51,90.357,88.846,83.842,66.7,2.94,96.04,68.14,96.04,83.92,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
RNO.PA,Renault,Automobile,27.91,2.8,1934208,1286509.0,1.5,26.698,26.506,30.688,61.3,2.57,37.97,24.66,28.19,25.07,,haussière,0,EMA200 > Prix > EMA9 > EMA20,2026-07-29
SAF.PA,Safran,Aéronautique,339.8,-0.93,604783,597287.0,1.01,333.53,332.189,304.544,57.1,2.59,360.8,262.6,360.8,316.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
SGO.PA,Saint-Gobain,Matériaux,75.56,-1.31,855135,862622.0,0.99,75.19,75.75,80.501,48.5,2.26,100.75,65.88,81.04,72.22,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-29
SAN.PA,Sanofi,Santé,79.92,0.68,2189539,2013805.0,1.09,77.774,76.869,79.591,65.6,2.04,91.15,71.25,80.18,73.94,,,0,Prix > EMA200 > EMA9 > EMA20,2026-07-29
SU.PA,Schneider Electric,Industrie,256.8,-1.98,1155672,772567.0,1.5,264.367,267.704,256.714,37.6,2.54,293.7,208.8,281.7,255.7,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-07-29
GLE.PA,Société Générale,Banque,76.72,-0.34,1235441,1369400.0,0.9,76.699,76.166,67.401,53.1,2.41,79.07,50.9,79.05,71.2,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
STLAP.PA,Stellantis,Automobile,5.28,4.14,7069741,5208238.0,1.36,5.086,5.119,6.924,53.3,3.58,10.49,4.59,5.34,4.59,,haussière,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-29
STMPA.PA,STMicroelectronics,Technologie,42.9,-3.55,3971368,3111148.0,1.28,49.283,54.036,41.746,26.9,5.2,70.85,18.2,64.07,42.42,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-07-29
TEP.PA,Teleperformance,Services,63.0,5.0,373102,241902.0,1.54,57.363,55.594,59.971,68.7,4.88,78.14,43.65,63.0,48.64,,haussière,0,Prix > EMA200 > EMA9 > EMA20,2026-07-29
HO.PA,Thales,Défense,245.4,-1.56,265101,245806.0,1.08,237.522,232.938,236.92,63.7,2.64,279.3,212.6,251.9,216.4,,,0,Prix > EMA9 > EMA200 > EMA20,2026-07-29
TTE.PA,TotalEnergies,Énergie,75.83,2.78,2930345,3646283.0,0.8,73.876,72.5,68.018,62.7,1.88,81.34,49.24,76.68,65.75,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
URW.PA,Unibail-Rodamco-Westfield,Immobilier,105.25,-0.52,182016,197843.0,0.92,104.684,103.687,96.805,63.0,1.24,106.65,84.22,105.95,100.4,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-29
VIE.PA,Veolia,Environnement,35.15,-1.49,1825643,1639073.0,1.11,36.255,36.443,33.53,38.1,1.76,37.66,27.43,37.66,34.98,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-07-29
DG.PA,Vinci,BTP,118.3,-0.42,761390,770054.0,0.99,118.725,120.305,124.38,39.5,1.63,143.15,112.4,128.95,117.1,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-29
VIV.PA,Vivendi,Médias,2.03,2.27,1413098,2113372.0,0.67,1.951,1.985,2.384,52.3,2.28,3.31,1.65,2.33,1.77,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-29
ATO.PA,Atos,Technologie,33.62,5.33,189562,108198.0,1.75,31.264,31.849,49.417,56.5,4.08,63.24,27.68,35.0,27.68,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-29
SOI.PA,Soitec,Semi-conducteurs,96.2,-3.2,393671,401528.0,0.98,101.572,104.449,85.73,43.2,8.37,200.5,22.62,128.0,81.66,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-29
