ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,166.88,0.22,668391,710684.0,0.94,168.684,169.408,164.497,42.2,1.56,182.26,140.78,176.64,165.36,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-14
AIR.PA,Airbus,Aéronautique,195.0,-2.21,1261720,754853.0,1.67,198.079,200.74,190.723,39.4,2.13,221.3,157.42,216.35,193.18,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-14
ALO.PA,Alstom,Industrie,15.78,-0.6,1370117,1062657.0,1.29,15.951,16.06,18.874,45.5,2.93,30.23,14.72,17.06,15.42,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-14
MT.AS,ArcelorMittal,Matériaux,62.64,-2.67,1451561,1438371.0,1.01,64.601,64.084,52.444,46.0,2.96,68.56,28.84,68.56,59.34,,,0,EMA9 > EMA20 > Prix > EMA200,2026-09-14
CS.PA,AXA,Assurance,43.67,1.11,2556331,2539669.0,1.01,43.502,43.728,41.772,48.7,1.63,45.66,36.55,44.95,42.43,,,0,EMA20 > Prix > EMA9 > EMA200,2026-09-14
BNP.PA,BNP Paribas,Banque,102.8,-0.93,1521111,1746688.0,0.87,103.477,104.61,94.502,42.2,2.05,113.82,65.12,112.12,99.93,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-14
EN.PA,Bouygues,BTP/Télécom,43.75,-0.52,597004,674759.0,0.88,44.261,45.033,46.61,34.6,1.81,53.48,36.72,47.81,43.39,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-14
CAP.PA,Capgemini,Technologie,109.7,6.61,916913,453579.0,2.02,105.701,105.984,109.49,56.8,3.16,153.05,85.62,111.65,100.35,,,0,Prix > EMA200 > EMA20 > EMA9,2026-09-14
CA.PA,Carrefour,Distribution,16.61,2.09,1825668,1599971.0,1.14,16.347,16.174,15.571,60.3,1.7,17.53,11.95,16.69,15.52,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-14
ACA.PA,Crédit Agricole,Banque,18.44,-0.99,2991761,3926017.0,0.76,18.618,18.77,17.641,41.3,1.55,20.4,15.37,20.23,18.18,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-14
BN.PA,Danone,Agroalimentaire,62.28,1.47,1393034,1042365.0,1.34,63.085,64.401,68.628,34.7,1.46,80.14,60.64,66.86,61.38,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-14
DSY.PA,Dassault Systèmes,Technologie,21.25,4.99,2517123,1689034.0,1.49,21.103,21.393,21.334,49.4,2.87,30.36,15.82,23.18,19.9,,,-2,EMA20 > EMA200 > Prix > EMA9,2026-09-14
