ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,165.24,-0.71,657487,720908.0,0.91,167.32,168.506,164.544,38.6,1.51,182.26,140.78,176.64,164.9,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-17
AIR.PA,Airbus,Aéronautique,195.5,-0.4,975693,826789.0,1.18,196.856,199.394,190.867,41.0,2.03,221.3,157.42,209.55,193.18,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-17
ALO.PA,Alstom,Industrie,15.69,-0.44,1571120,1153909.0,1.36,15.828,15.966,18.781,44.9,2.75,30.23,14.72,17.06,15.41,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
MT.AS,ArcelorMittal,Matériaux,65.54,1.33,1477341,1467869.0,1.01,64.627,64.208,52.802,57.4,3.08,68.56,29.87,68.56,59.34,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-17
CS.PA,AXA,Assurance,45.06,1.92,3799657,2691823.0,1.41,43.942,43.888,41.847,60.1,1.55,45.66,36.55,45.2,42.43,haussier,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-09-17
BNP.PA,BNP Paribas,Banque,103.78,1.43,2240945,1839073.0,1.22,103.074,104.076,94.745,47.6,1.69,113.82,65.12,107.64,99.93,,,0,EMA20 > Prix > EMA9 > EMA200,2026-09-17
EN.PA,Bouygues,BTP/Télécom,44.85,0.67,621967,690322.0,0.9,44.362,44.875,46.546,46.3,1.57,53.48,36.72,46.96,43.39,,,0,EMA200 > EMA20 > Prix > EMA9,2026-09-17
CAP.PA,Capgemini,Technologie,107.1,1.37,488966,501576.0,0.97,106.357,106.273,109.433,52.2,3.06,153.05,85.62,111.65,100.35,haussier,,0,EMA200 > Prix > EMA9 > EMA20,2026-09-17
CA.PA,Carrefour,Distribution,16.81,0.0,1693537,1702068.0,0.99,16.568,16.336,15.608,63.5,1.67,17.53,11.95,16.96,15.52,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-17
ACA.PA,Crédit Agricole,Banque,18.6,1.2,4351765,3963993.0,1.1,18.544,18.688,17.665,47.0,1.41,20.4,15.37,19.24,18.11,,,0,EMA20 > Prix > EMA9 > EMA200,2026-09-17
BN.PA,Danone,Agroalimentaire,61.38,0.76,1196928,1074390.0,1.11,62.205,63.593,68.407,33.4,1.47,80.14,60.64,66.44,60.72,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
DSY.PA,Dassault Systèmes,Technologie,20.58,-1.53,1749013,1741560.0,1.0,20.954,21.243,21.318,43.5,2.94,30.36,15.82,23.18,19.9,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
EDEN.PA,Edenred,Services,29.12,-0.27,353921,514637.0,0.69,28.973,29.007,24.139,52.8,2.35,30.85,15.23,30.85,27.9,,,4,Prix > EMA20 > EMA9 > EMA200,2026-09-17
ENGI.PA,Engie,Énergie,24.25,0.75,4821352,3519246.0,1.37,24.056,24.441,25.191,43.5,2.09,29.89,17.78,25.75,23.37,,,0,EMA200 > EMA20 > Prix > EMA9,2026-09-17
EL.PA,EssilorLuxottica,Santé/Optique,141.45,-2.52,900090,713455.0,1.26,147.093,152.252,194.834,25.1,2.52,323.8,140.7,163.9,140.7,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
ERF.PA,Eurofins Scientific,Santé,76.88,2.92,487648,314464.0,1.55,73.445,72.492,66.215,71.3,2.31,76.88,54.86,76.88,68.38,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-09-17
RMS.PA,Hermès,Luxe,1375.0,-0.58,74773,126057.0,0.59,1414.699,1467.817,1745.639,28.8,2.48,2300.0,1358.5,1628.5,1358.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
KER.PA,Kering,Luxe,239.6,0.67,282801,296304.0,0.95,239.619,245.446,257.229,41.8,2.89,354.2,225.1,261.0,230.25,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
OR.PA,L'Oréal,Cosmétiques,380.1,-0.47,246575,294768.0,0.84,381.624,382.467,376.475,47.6,1.93,405.8,338.85,394.0,372.95,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-17
LR.PA,Legrand,Industrie,136.3,0.74,512287,473772.0,1.08,136.73,137.218,138.12,48.3,2.63,166.95,121.95,146.3,131.6,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
MC.PA,LVMH,Luxe,412.3,0.33,470837,537749.0,0.88,417.361,430.287,492.565,35.1,2.26,654.7,403.15,461.25,403.15,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
ML.PA,Michelin,Industrie,33.54,1.08,1637319,1344068.0,1.22,33.663,34.039,32.648,42.8,1.64,35.72,25.51,35.35,32.74,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-17
ORA.PA,Orange,Télécom,15.96,0.54,4682291,4913793.0,0.95,15.71,15.724,16.081,54.5,1.55,18.81,13.07,16.26,14.8,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-09-17
RI.PA,Pernod Ricard,Boissons,60.12,-0.69,647510,712729.0,0.91,60.942,62.606,70.017,35.2,2.19,90.34,58.6,69.2,58.9,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-17
