ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,176.74,0.12,783035,864169.0,0.91,176.486,174.94,161.894,56.8,1.46,182.26,140.78,182.26,168.64,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
AIR.PA,Airbus,Aéronautique,208.3,7.04,2342279,1015705.0,2.31,197.89,195.867,184.244,67.3,2.18,221.3,157.42,210.95,189.22,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
ALO.PA,Alstom,Industrie,16.12,1.0,1426923,1537732.0,0.93,15.814,15.814,20.085,53.7,2.84,30.23,14.72,16.87,14.93,haussier,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-22
MT.AS,ArcelorMittal,Matériaux,58.24,0.66,1189196,1922788.0,0.62,57.724,57.033,47.659,55.5,3.45,62.6,26.35,59.98,51.24,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
CS.PA,AXA,Assurance,44.91,0.27,2337028,2560025.0,0.91,44.542,43.966,40.657,71.9,1.18,45.47,36.55,45.47,42.53,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
BNP.PA,BNP Paribas,Banque,106.78,1.54,2852331,1622670.0,1.76,103.522,101.997,88.934,68.5,1.95,107.18,65.12,107.18,97.31,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
EN.PA,Bouygues,BTP/Télécom,48.3,1.15,555746,748315.0,0.74,47.813,48.044,46.766,50.2,1.63,53.48,35.39,50.56,45.7,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-22
CAP.PA,Capgemini,Technologie,88.54,-1.64,945151,663942.0,1.42,90.525,91.354,111.105,41.1,3.42,153.05,86.2,95.3,86.52,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-22
CA.PA,Carrefour,Distribution,16.65,0.63,2648887,2118167.0,1.25,16.572,16.462,15.378,54.4,1.64,17.53,11.94,16.91,15.62,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
ACA.PA,Crédit Agricole,Banque,18.24,0.75,3639497,4180661.0,0.87,17.902,17.699,17.014,66.0,1.51,19.15,15.29,18.29,16.97,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-22
