ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,178.52,1.01,654986,1014344.0,0.65,175.841,173.522,160.972,63.3,1.56,182.26,140.78,182.26,164.16,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
AIR.PA,Airbus,Aéronautique,195.94,0.34,700561,1182030.0,0.59,197.671,194.767,183.475,55.0,2.26,221.3,157.42,210.95,185.0,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-14
ALO.PA,Alstom,Industrie,15.25,-0.07,1183538,1814092.0,0.65,15.532,15.755,20.339,37.5,2.82,30.23,14.72,16.87,14.93,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
MT.AS,ArcelorMittal,Matériaux,58.72,1.17,1634924,2170569.0,0.75,56.618,56.134,47.016,57.3,3.64,62.6,26.35,59.6,51.24,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
CS.PA,AXA,Assurance,44.31,-0.02,1755042,3233796.0,0.54,44.066,43.393,40.412,71.1,1.24,44.54,36.55,44.54,42.22,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
BNP.PA,BNP Paribas,Banque,102.32,1.39,1204889,1949547.0,0.62,101.165,100.314,88.003,59.1,1.81,103.6,65.12,103.6,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
EN.PA,Bouygues,BTP/Télécom,47.29,0.96,682409,920633.0,0.74,47.306,48.098,46.688,40.7,1.79,53.48,35.39,50.86,45.7,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-14
CAP.PA,Capgemini,Technologie,90.14,-1.62,614687,745279.0,0.82,90.704,91.876,112.333,43.8,3.16,153.05,86.2,98.94,86.2,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
CA.PA,Carrefour,Distribution,16.64,0.15,1396883,2565840.0,0.54,16.418,16.334,15.299,55.8,1.79,17.53,11.94,16.72,15.24,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
ACA.PA,Crédit Agricole,Banque,17.83,1.6,4040807,5023781.0,0.8,17.579,17.465,16.954,60.4,1.51,19.15,15.29,17.94,16.97,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
BN.PA,Danone,Agroalimentaire,71.72,-0.66,924362,1689785.0,0.55,72.202,70.821,69.569,58.8,1.47,80.14,60.64,74.68,64.68,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-14
DSY.PA,Dassault Systèmes,Technologie,18.39,-1.45,1436453,1963595.0,0.73,18.324,18.277,21.449,50.7,3.05,33.16,15.82,18.94,16.8,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-14
EDEN.PA,Edenred,Services,24.88,1.22,794119,1171189.0,0.68,23.776,23.168,21.548,66.1,2.87,27.54,15.23,24.9,20.38,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
ENGI.PA,Engie,Énergie,27.41,0.92,2361492,2786315.0,0.85,27.165,27.13,25.023,53.2,1.94,29.89,17.2,27.81,26.43,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
EL.PA,EssilorLuxottica,Santé/Optique,165.15,-2.51,483080,753316.0,0.64,169.939,171.266,215.126,40.8,2.82,323.8,160.6,184.0,160.6,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
ERF.PA,Eurofins Scientific,Santé,69.0,-0.72,225880,272502.0,0.83,68.642,67.502,63.393,61.2,2.09,74.32,54.86,70.28,61.44,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-14
RMS.PA,Hermès,Luxe,1644.5,-0.75,67741,84756.0,0.8,1634.096,1635.526,1861.944,51.1,2.48,2421.0,1529.0,1784.5,1564.0,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-14
KER.PA,Kering,Luxe,244.25,-2.44,209339,296597.0,0.71,248.768,252.191,258.431,43.2,3.09,354.2,194.44,277.1,238.75,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
OR.PA,L'Oréal,Cosmétiques,378.8,-0.79,242392,444601.0,0.55,381.509,381.668,373.016,48.0,1.86,408.35,338.85,393.5,369.45,baissier,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-14
LR.PA,Legrand,Industrie,142.0,1.97,824191,656951.0,1.25,141.936,143.217,138.814,46.7,2.39,166.95,121.95,155.25,136.8,,,0,EMA20 > Prix > EMA9 > EMA200,2026-07-14
MC.PA,LVMH,Luxe,482.95,-1.74,293665,559017.0,0.53,489.649,490.182,516.439,46.2,2.28,654.7,440.0,526.4,471.35,baissier,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
ML.PA,Michelin,Industrie,34.18,-1.58,1412803,1611620.0,0.88,34.436,34.004,31.591,55.0,1.65,35.72,25.51,35.72,32.43,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-14
ORA.PA,Orange,Télécom,16.47,1.23,4261379,5109546.0,0.83,16.164,16.45,16.118,46.5,1.93,18.81,12.9,17.2,15.62,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-14
RI.PA,Pernod Ricard,Boissons,63.48,-1.15,516139,758135.0,0.68,63.977,63.949,72.842,48.2,2.74,107.45,58.6,67.06,61.24,,,0,EMA200 > EMA9 > EMA20 > Prix,2026-07-14
PUB.PA,Publicis,Communication,86.94,-1.05,633509,690122.0,0.92,86.774,86.785,83.203,51.3,2.27,92.78,68.14,92.78,81.52,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-14
RNO.PA,Renault,Automobile,25.84,-1.3,771655,1552324.0,0.5,25.915,26.289,31.217,44.2,2.78,37.97,24.66,28.14,24.66,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
SAF.PA,Safran,Aéronautique,327.8,-0.7,476984,733287.0,0.65,336.993,333.774,301.565,48.7,2.31,360.8,262.6,360.8,322.1,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-14
SGO.PA,Saint-Gobain,Matériaux,74.62,-0.35,880953,1131137.0,0.78,76.281,77.135,81.131,42.0,2.58,104.65,65.88,82.42,73.66,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-14
SAN.PA,Sanofi,Santé,75.5,-2.08,1704061,2733172.0,0.62,75.752,75.417,79.83,50.3,2.22,91.15,71.25,77.49,71.25,,,-4,EMA200 > EMA9 > Prix > EMA20,2026-07-14
SU.PA,Schneider Electric,Industrie,273.1,1.69,898158,967024.0,0.93,272.086,274.005,255.819,49.2,2.34,293.7,208.8,293.7,261.45,,,0,EMA20 > Prix > EMA9 > EMA200,2026-07-14
GLE.PA,Société Générale,Banque,75.28,0.86,1565328,1592907.0,0.98,75.034,75.103,66.337,51.8,2.33,79.07,49.01,79.07,71.2,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-14
STLAP.PA,Stellantis,Automobile,4.99,1.29,3073750,6810120.0,0.45,4.939,5.168,7.156,39.8,3.69,10.49,4.59,5.91,4.59,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-14
STMPA.PA,STMicroelectronics,Technologie,61.36,-0.32,2011675,2756783.0,0.73,61.726,62.254,40.676,48.9,4.31,70.85,18.2,70.85,57.92,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-14
