ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,167.32,1.27,521863,814755.0,0.64,166.455,167.709,164.625,47.4,1.41,182.26,140.78,176.64,162.46,,,0,EMA20 > Prix > EMA9 > EMA200,2026-09-22
AIR.PA,Airbus,Aéronautique,194.6,-0.09,1065052,958169.0,1.11,195.603,197.934,191.06,40.9,1.96,221.3,157.42,209.55,192.88,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-22
ALO.PA,Alstom,Industrie,15.27,2.11,1538964,1311048.0,1.17,15.508,15.762,18.651,41.2,2.55,30.23,14.72,17.06,14.77,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-22
MT.AS,ArcelorMittal,Matériaux,63.82,1.53,1189858,1496314.0,0.8,64.038,64.094,53.255,50.0,3.07,68.56,30.18,68.56,61.92,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-22
CS.PA,AXA,Assurance,43.91,-2.07,2988866,3323674.0,0.9,44.185,44.042,41.947,48.9,1.52,45.66,36.55,45.2,42.43,,,0,EMA9 > EMA20 > Prix > EMA200,2026-09-22
BNP.PA,BNP Paribas,Banque,101.3,0.2,1736220,2059239.0,0.84,102.11,103.263,95.012,41.2,1.85,113.82,65.12,106.42,99.8,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-22
EN.PA,Bouygues,BTP/Télécom,43.61,0.28,627117,763196.0,0.82,43.95,44.496,46.433,38.6,1.67,53.48,36.72,46.42,43.22,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-22
CAP.PA,Capgemini,Technologie,106.3,0.76,561216,543160.0,1.03,105.906,105.998,109.25,51.1,3.23,153.05,85.62,111.45,100.35,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-09-22
CA.PA,Carrefour,Distribution,16.4,-0.21,2285034,1897957.0,1.2,16.5,16.368,15.639,52.3,1.65,17.53,12.57,16.96,15.52,,,4,EMA9 > Prix > EMA20 > EMA200,2026-09-22
ACA.PA,Crédit Agricole,Banque,18.11,-0.52,4218372,4142391.0,1.02,18.361,18.552,17.688,37.2,1.6,20.4,15.37,19.18,18.05,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-22
BN.PA,Danone,Agroalimentaire,60.9,1.06,977416,1219554.0,0.8,61.404,62.747,68.129,34.8,1.5,80.14,60.02,65.72,60.02,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-22
DSY.PA,Dassault Systèmes,Technologie,20.98,0.38,1512037,1805017.0,0.84,20.873,21.091,21.3,48.5,3.03,30.36,15.82,23.18,19.9,,,0,EMA200 > EMA20 > Prix > EMA9,2026-09-22
