ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,,,587164,648304.0,0.91,168.218,169.59,163.812,44.0,,182.26,140.78,175.06,165.36,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-27
AIR.PA,Airbus,Aéronautique,,,781659,816218.0,0.96,206.788,207.411,189.834,49.0,,221.3,157.42,217.05,201.65,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-27
ALO.PA,Alstom,Industrie,,,903268,1002335.0,0.9,16.234,16.189,19.24,62.5,,30.23,14.72,17.05,15.75,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-27
MT.AS,ArcelorMittal,Matériaux,,,1153897,1534270.0,0.75,62.972,62.265,50.86,62.4,,65.24,27.42,65.24,58.92,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-27
CS.PA,AXA,Assurance,,,5183934,2138429.0,2.42,44.035,44.284,41.538,41.5,,45.66,36.55,45.63,42.43,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-27
BNP.PA,BNP Paribas,Banque,,,3464946,1458541.0,2.38,107.339,108.034,93.406,43.8,,113.82,65.12,113.82,99.95,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-27
EN.PA,Bouygues,BTP/Télécom,,,1030027,547370.0,1.88,46.471,47.086,46.92,35.2,,53.48,35.39,50.2,43.39,,,0,Prix > EMA20 > EMA200 > EMA9,2026-08-27
CAP.PA,Capgemini,Technologie,,,392415,508207.0,0.77,108.627,106.416,109.873,53.1,,153.05,85.62,111.85,100.25,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-27
CA.PA,Carrefour,Distribution,,,2545941,1584774.0,1.61,15.876,15.901,15.486,50.1,,17.53,11.94,16.12,15.53,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-27
ACA.PA,Crédit Agricole,Banque,,,10043024,4211466.0,2.38,19.255,19.223,17.519,48.1,,20.4,15.29,20.4,18.18,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-27
BN.PA,Danone,Agroalimentaire,,,777474,1087435.0,0.71,66.154,67.106,69.253,38.7,,80.14,60.64,69.06,64.6,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-27
