ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,167.5,-0.37,583503,819195.0,0.71,167.151,167.761,164.73,47.8,1.44,182.26,140.78,176.64,162.46,,,0,EMA20 > Prix > EMA9 > EMA200,2026-09-25
AIR.PA,Airbus,Aéronautique,192.4,-1.02,1728900,987143.0,1.75,194.692,196.873,191.148,37.3,2.13,221.3,157.42,203.1,188.12,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-25
ALO.PA,Alstom,Industrie,14.55,0.03,1588396,1355543.0,1.17,15.074,15.468,18.536,33.6,2.65,30.23,14.48,16.65,14.48,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
MT.AS,ArcelorMittal,Matériaux,61.78,-0.35,1191480,1462034.0,0.81,63.176,63.637,53.529,42.6,3.03,68.56,30.18,68.56,61.78,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-09-25
CS.PA,AXA,Assurance,44.0,0.07,2870574,3309417.0,0.87,43.989,43.967,41.996,50.2,1.6,45.66,36.55,45.2,42.74,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-25
BNP.PA,BNP Paribas,Banque,99.3,0.88,1845774,2086259.0,0.88,100.715,102.23,95.138,37.7,2.07,113.82,65.12,104.8,95.55,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-25
EN.PA,Bouygues,BTP/Télécom,43.14,0.33,467767,738176.0,0.63,43.546,44.141,46.334,36.4,1.57,53.48,36.72,45.23,42.84,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
CAP.PA,Capgemini,Technologie,104.5,0.72,396386,545065.0,0.73,105.305,105.67,109.124,47.9,2.97,153.05,85.62,111.45,100.35,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
CA.PA,Carrefour,Distribution,16.2,0.37,1481059,1914112.0,0.77,16.339,16.316,15.656,47.9,1.75,17.53,12.57,16.96,15.6,,,0,EMA9 > EMA20 > Prix > EMA200,2026-09-25
ACA.PA,Crédit Agricole,Banque,18.18,1.37,3280493,3845897.0,0.85,18.217,18.424,17.699,41.9,1.65,20.4,15.37,18.98,17.72,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-25
BN.PA,Danone,Agroalimentaire,59.56,-0.96,1128976,1249870.0,0.9,60.694,62.03,67.889,29.7,1.62,80.14,59.4,65.53,59.4,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
DSY.PA,Dassault Systèmes,Technologie,21.07,-0.47,1817439,1743992.0,1.04,21.003,21.105,21.293,49.4,2.59,30.36,15.82,23.16,19.9,,,0,EMA200 > EMA20 > Prix > EMA9,2026-09-25
EDEN.PA,Edenred,Services,27.46,0.11,262890,522235.0,0.5,28.019,28.441,24.39,39.3,2.51,30.85,15.23,30.57,27.26,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-25
ENGI.PA,Engie,Énergie,23.35,-0.3,3692731,6809738.0,0.54,23.7,24.051,25.091,34.4,1.9,29.89,17.78,24.93,23.17,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
EL.PA,EssilorLuxottica,Santé/Optique,143.9,-0.55,800577,895815.0,0.89,145.088,148.336,191.437,39.7,2.77,323.8,138.3,162.5,138.3,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
ERF.PA,Eurofins Scientific,Santé,77.36,-0.46,274276,374573.0,0.73,76.39,74.727,66.929,63.0,2.58,79.22,54.86,79.22,68.38,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-25
RMS.PA,Hermès,Luxe,1347.5,-0.52,78189,139309.0,0.56,1365.463,1411.759,1720.47,31.3,2.56,2300.0,1298.5,1609.0,1298.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
KER.PA,Kering,Luxe,223.35,-1.06,372882,337509.0,1.1,230.382,237.165,255.389,33.2,3.06,354.2,222.35,255.4,222.35,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-25
