ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,168.12,-0.04,484970,824305.0,0.59,167.064,167.788,164.707,49.6,1.44,182.26,140.78,176.64,162.46,,,4,Prix > EMA20 > EMA9 > EMA200,2026-09-24
AIR.PA,Airbus,Aéronautique,194.38,-0.33,921803,980136.0,0.94,195.265,197.344,191.144,40.7,1.94,221.3,157.42,205.2,190.92,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-24
ALO.PA,Alstom,Industrie,14.54,-1.96,1427727,1329320.0,1.07,15.206,15.566,18.574,33.5,2.62,30.23,14.51,17.06,14.51,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
MT.AS,ArcelorMittal,Matériaux,62.0,-2.18,1183522,1460553.0,0.81,63.525,63.833,53.448,43.3,2.92,68.56,30.18,68.56,61.92,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-24
CS.PA,AXA,Assurance,43.97,1.76,3314186,3402904.0,0.97,43.986,43.964,41.98,50.0,1.64,45.66,36.55,45.2,42.74,,,4,EMA9 > Prix > EMA20 > EMA200,2026-09-24
BNP.PA,BNP Paribas,Banque,98.43,-1.77,3489947,2085009.0,1.67,101.069,102.538,95.1,34.0,2.05,113.82,65.12,104.8,95.55,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-09-24
EN.PA,Bouygues,BTP/Télécom,43.0,-0.58,465540,766401.0,0.61,43.648,44.246,46.369,34.7,1.58,53.48,36.72,45.23,42.84,,baissière,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
CAP.PA,Capgemini,Technologie,103.75,-2.21,366293,546371.0,0.67,105.506,105.793,109.169,46.4,3.01,153.05,85.62,111.45,100.35,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
CA.PA,Carrefour,Distribution,16.14,-0.15,1738776,1954470.0,0.89,16.374,16.329,15.651,46.3,1.7,17.53,12.57,16.96,15.52,,,0,EMA9 > EMA20 > Prix > EMA200,2026-09-24
ACA.PA,Crédit Agricole,Banque,17.94,-0.53,3431869,4176454.0,0.82,18.224,18.449,17.695,34.0,1.64,20.4,15.37,18.98,17.72,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-09-24
BN.PA,Danone,Agroalimentaire,60.14,-0.3,1216817,1227903.0,0.99,60.978,62.29,67.976,31.9,1.55,80.14,60.0,65.53,60.0,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
DSY.PA,Dassault Systèmes,Technologie,21.17,-0.19,1754811,1741580.0,1.01,20.986,21.109,21.294,50.7,2.65,30.36,15.82,23.18,19.9,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-09-24
EDEN.PA,Edenred,Services,27.43,-0.9,286736,542043.0,0.53,28.159,28.544,24.354,39.0,2.52,30.85,15.23,30.85,27.3,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-09-24
ENGI.PA,Engie,Énergie,23.42,-0.93,4237830,6833015.0,0.62,23.787,24.124,25.108,35.2,1.84,29.89,17.78,24.93,23.3,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
EL.PA,EssilorLuxottica,Santé/Optique,144.7,-3.5,1110189,873240.0,1.27,145.385,148.803,191.914,40.7,2.77,323.8,138.3,163.45,138.3,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
ERF.PA,Eurofins Scientific,Santé,77.72,2.05,240165,375419.0,0.64,76.147,74.45,66.819,64.6,2.54,79.22,54.86,79.22,68.38,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-24
RMS.PA,Hermès,Luxe,1354.5,0.37,92522,138744.0,0.67,1369.954,1418.524,1724.079,32.1,2.63,2300.0,1298.5,1628.5,1298.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-24
