ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,172.48,-0.4,668441,653065.0,1.02,170.078,170.006,164.15,57.0,1.35,182.26,140.78,176.64,165.36,haussier,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-02
AIR.PA,Airbus,Aéronautique,196.9,0.37,740124,725703.0,1.02,201.231,204.085,190.272,37.4,1.82,221.3,157.42,217.05,193.7,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-02
ALO.PA,Alstom,Industrie,15.68,-0.98,1021309,1015075.0,1.01,16.126,16.168,19.09,41.7,2.31,30.23,14.72,17.06,15.54,baissier,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-02
MT.AS,ArcelorMittal,Matériaux,64.26,0.82,1164526,1390043.0,0.84,63.74,62.994,51.51,58.9,3.4,65.4,28.62,65.4,59.34,,,7,Prix > EMA9 > EMA20 > EMA200,2026-09-02
CS.PA,AXA,Assurance,43.31,-0.92,2101516,2296622.0,0.92,43.584,43.915,41.629,42.8,1.5,45.66,36.55,45.63,42.43,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-02
BNP.PA,BNP Paribas,Banque,103.1,0.49,1657634,1671832.0,0.99,104.113,105.829,93.845,41.1,2.05,113.82,65.12,113.82,99.93,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-02
EN.PA,Bouygues,BTP/Télécom,43.85,-1.19,977293,575146.0,1.7,44.876,45.912,46.785,28.7,1.83,53.48,36.19,49.31,43.39,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-02
CAP.PA,Capgemini,Technologie,105.1,-1.41,276961,456410.0,0.61,107.577,106.782,109.774,48.7,2.87,153.05,85.62,111.85,104.05,,,0,EMA200 > EMA9 > EMA20 > Prix,2026-09-02
CA.PA,Carrefour,Distribution,16.19,1.22,1974086,1568021.0,1.26,15.886,15.882,15.502,56.9,1.37,17.53,11.94,16.26,15.52,haussier,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-09-02
ACA.PA,Crédit Agricole,Banque,18.58,0.03,3711417,4191134.0,0.89,18.753,18.935,17.569,42.7,1.51,20.4,15.37,20.4,18.18,,,2,EMA20 > EMA9 > Prix > EMA200,2026-09-02
BN.PA,Danone,Agroalimentaire,64.26,-0.43,840373,996636.0,0.84,64.978,66.049,69.028,33.5,1.32,80.14,60.64,69.06,63.96,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-02
DSY.PA,Dassault Systèmes,Technologie,22.13,-0.54,1171965,1639268.0,0.71,22.452,22.003,21.367,55.7,2.29,30.36,15.82,23.18,20.81,,,4,EMA9 > Prix > EMA20 > EMA200,2026-09-02
EDEN.PA,Edenred,Services,29.8,-0.67,490087,459282.0,1.07,29.861,29.208,23.638,61.8,2.01,30.85,15.23,30.85,27.61,,,4,EMA9 > Prix > EMA20 > EMA200,2026-09-02
ENGI.PA,Engie,Énergie,23.91,-2.01,3854378,2960102.0,1.3,24.651,25.243,25.318,29.9,1.99,29.89,17.61,26.82,23.88,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-09-02
