ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,177.7,0.7,794723,875912.0,0.91,176.399,174.564,161.596,59.3,1.5,182.26,140.78,182.26,164.8,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
AIR.PA,Airbus,Aéronautique,191.78,-1.31,817166,1042657.0,0.78,195.459,194.553,183.895,48.1,2.19,221.3,157.42,210.95,187.5,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-20
ALO.PA,Alstom,Industrie,15.85,0.89,1068100,1616878.0,0.66,15.68,15.762,20.166,49.0,2.86,30.23,14.72,16.87,14.93,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-20
MT.AS,ArcelorMittal,Matériaux,58.24,0.45,1732012,1948997.0,0.89,57.529,56.806,47.449,55.7,3.71,62.6,26.35,59.98,51.24,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
CS.PA,AXA,Assurance,44.76,-0.09,1856354,2642837.0,0.7,44.365,43.77,40.572,70.5,1.18,44.89,36.55,44.89,42.46,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
BNP.PA,BNP Paribas,Banque,103.3,1.33,1499606,1616914.0,0.93,102.094,101.107,88.59,60.5,1.87,103.6,65.12,103.6,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
EN.PA,Bouygues,BTP/Télécom,48.04,0.54,483165,795304.0,0.61,47.677,48.046,46.741,47.7,1.76,53.48,35.39,50.56,45.7,,,0,EMA20 > Prix > EMA9 > EMA200,2026-07-20
CAP.PA,Capgemini,Technologie,91.58,0.28,843877,654410.0,1.29,91.271,91.822,111.545,47.5,3.52,153.05,86.2,95.3,86.52,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-20
CA.PA,Carrefour,Distribution,16.74,-0.27,2117340,2146532.0,0.99,16.554,16.431,15.354,56.6,1.83,17.53,11.94,16.88,15.62,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
ACA.PA,Crédit Agricole,Banque,17.93,0.82,3692863,4290060.0,0.86,17.745,17.594,16.991,60.6,1.54,19.15,15.29,18.0,16.97,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
BN.PA,Danone,Agroalimentaire,73.14,0.22,876122,1525512.0,0.57,72.551,71.452,69.693,64.5,1.48,80.14,60.64,74.68,66.74,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
DSY.PA,Dassault Systèmes,Technologie,18.15,1.45,1845951,1791685.0,1.03,18.223,18.242,21.32,48.1,3.22,33.16,15.82,18.94,16.9,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-20
EDEN.PA,Edenred,Services,26.93,1.43,731050,822561.0,0.89,25.386,24.251,21.75,75.1,2.98,27.54,15.23,26.98,21.81,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
ENGI.PA,Engie,Énergie,26.89,0.11,2099381,2518035.0,0.83,26.982,27.04,25.096,47.9,1.93,29.89,17.2,27.81,26.43,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-20
EL.PA,EssilorLuxottica,Santé/Optique,168.25,0.93,492740,659384.0,0.75,168.849,170.232,213.269,45.9,2.75,323.8,160.6,177.95,160.6,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-20
ERF.PA,Eurofins Scientific,Santé,71.1,1.17,262758,242022.0,1.09,69.573,68.367,63.663,69.1,2.03,74.32,54.86,71.28,63.78,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-20
RMS.PA,Hermès,Luxe,1676.0,-0.3,56062,78912.0,0.71,1664.244,1652.177,1854.9,54.0,2.51,2421.0,1529.0,1709.0,1564.0,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-20
KER.PA,Kering,Luxe,253.45,0.46,275314,270939.0,1.02,251.567,252.638,258.227,50.4,2.93,354.2,206.1,272.95,238.75,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-07-20
