ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,169.14,-0.7,507443,771620.0,0.66,171.425,172.507,163.447,39.4,1.26,182.26,140.78,178.12,168.92,,baissière,2,EMA20 > EMA9 > Prix > EMA200,2026-08-13
AIR.PA,Airbus,Aéronautique,212.9,-0.35,617161,1043168.0,0.59,212.041,208.306,188.121,60.2,1.83,221.3,157.42,217.05,190.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
ALO.PA,Alstom,Industrie,15.98,-1.33,814519,1171777.0,0.7,16.317,16.248,19.526,45.9,2.34,30.23,14.72,17.05,15.3,,,0,EMA200 > EMA9 > EMA20 > Prix,2026-08-13
MT.AS,ArcelorMittal,Matériaux,63.66,-0.81,1049618,1643366.0,0.64,63.139,61.331,49.529,62.8,2.9,65.24,27.42,65.24,56.14,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
CS.PA,AXA,Assurance,44.64,-0.2,1443753,2447210.0,0.59,44.813,44.688,41.287,53.0,1.26,45.66,36.55,45.66,44.25,,,0,EMA9 > EMA20 > Prix > EMA200,2026-08-13
BNP.PA,BNP Paribas,Banque,112.4,0.36,1275412,1712094.0,0.74,111.526,109.207,92.042,68.5,1.62,113.82,65.12,113.82,100.44,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
EN.PA,Bouygues,BTP/Télécom,47.58,-0.15,585543,586388.0,1.0,48.057,48.117,46.953,45.7,2.02,53.48,35.39,50.2,46.0,baissier,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-13
CAP.PA,Capgemini,Technologie,106.0,0.33,354662,750183.0,0.47,106.275,102.653,109.915,59.2,4.09,153.05,85.62,111.85,85.62,,,-4,EMA200 > EMA9 > Prix > EMA20,2026-08-13
CA.PA,Carrefour,Distribution,15.73,-0.19,1464035,2180473.0,0.67,15.802,15.953,15.446,42.8,1.59,17.53,11.94,16.91,15.22,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-13
ACA.PA,Crédit Agricole,Banque,20.1,-0.35,3841815,4413944.0,0.87,19.703,19.14,17.342,77.4,1.59,20.4,15.29,20.4,17.58,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
BN.PA,Danone,Agroalimentaire,67.98,1.43,1034403,1331604.0,0.78,68.105,68.957,69.547,44.1,1.88,80.14,60.64,74.12,66.74,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-13
DSY.PA,Dassault Systèmes,Technologie,20.92,-2.24,1691867,2196909.0,0.77,21.316,20.604,21.204,56.4,3.13,30.36,15.82,22.43,17.56,,,0,EMA9 > EMA200 > Prix > EMA20,2026-08-13
EDEN.PA,Edenred,Services,27.97,0.94,442999,772249.0,0.57,28.163,27.513,22.749,59.0,2.67,29.5,15.23,29.5,25.16,,,4,EMA9 > Prix > EMA20 > EMA200,2026-08-13
ENGI.PA,Engie,Énergie,26.13,0.62,3045129,3090202.0,0.99,26.386,26.612,25.365,42.6,2.49,29.89,17.2,27.93,25.92,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-13
EL.PA,EssilorLuxottica,Santé/Optique,163.75,-0.4,473898,732197.0,0.65,167.928,168.219,205.751,41.6,3.44,323.8,160.6,176.6,160.8,baissier,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-13
ERF.PA,Eurofins Scientific,Santé,70.1,0.72,124732,227162.0,0.55,69.557,69.015,64.441,58.8,1.86,74.32,54.86,71.14,64.56,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
RMS.PA,Hermès,Luxe,1579.5,-1.47,61191,97412.0,0.63,1605.109,1612.03,1814.051,45.1,3.49,2300.0,1465.5,1709.0,1465.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-13
KER.PA,Kering,Luxe,270.6,-0.79,213806,327288.0,0.65,277.165,271.264,259.906,51.5,3.14,354.2,209.2,293.5,236.2,,,0,EMA9 > EMA20 > Prix > EMA200,2026-08-13
OR.PA,L'Oréal,Cosmétiques,383.3,0.75,242355,305109.0,0.79,384.64,383.915,374.677,50.0,2.14,408.35,338.85,401.0,366.1,,,0,EMA9 > EMA20 > Prix > EMA200,2026-08-13
LR.PA,Legrand,Industrie,141.75,-0.67,381576,620216.0,0.62,139.374,138.484,138.407,56.1,2.85,166.95,121.95,143.8,125.7,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
MC.PA,LVMH,Luxe,460.0,-1.06,515560,520964.0,0.99,473.247,477.086,508.859,38.8,2.75,654.7,440.0,503.1,449.5,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-13
ML.PA,Michelin,Industrie,34.86,0.72,1800346,1733642.0,1.04,34.593,34.533,32.189,55.7,1.88,35.72,25.51,35.48,33.46,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
ORA.PA,Orange,Télécom,16.28,0.84,3428691,4366654.0,0.79,16.301,16.386,16.173,47.3,2.19,18.81,13.07,17.52,15.83,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-13
RI.PA,Pernod Ricard,Boissons,68.34,0.56,502673,670318.0,0.75,68.408,67.282,71.741,56.4,2.52,107.45,58.6,71.14,61.16,,,-4,EMA200 > EMA9 > Prix > EMA20,2026-08-13
PUB.PA,Publicis,Communication,99.98,0.97,444271,696235.0,0.64,97.735,94.777,85.184,69.5,2.41,100.85,68.14,100.85,85.02,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
RNO.PA,Renault,Automobile,28.23,-0.35,656310,1370772.0,0.48,28.215,27.715,30.419,57.5,2.5,37.97,24.66,29.02,25.46,,,0,EMA200 > Prix > EMA9 > EMA20,2026-08-13
SAF.PA,Safran,Aéronautique,358.0,-1.54,299737,542563.0,0.55,356.37,348.625,309.773,61.4,2.33,366.5,262.6,366.5,316.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
SGO.PA,Saint-Gobain,Matériaux,84.14,-0.12,543601,944403.0,0.58,83.521,81.262,80.803,62.8,2.53,100.75,65.88,87.18,72.22,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
SAN.PA,Sanofi,Santé,76.43,1.34,1683016,2223260.0,0.76,75.546,75.667,79.105,53.3,2.53,91.15,71.25,80.18,72.07,,,-4,EMA200 > Prix > EMA20 > EMA9,2026-08-13
SU.PA,Schneider Electric,Industrie,309.25,-0.56,637010,848617.0,0.75,300.355,289.925,260.827,69.5,2.53,312.3,208.8,312.3,255.7,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
GLE.PA,Société Générale,Banque,82.87,-0.3,1179052,1410618.0,0.84,82.649,80.708,68.823,62.4,2.05,84.82,50.9,84.82,73.15,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-13
STLAP.PA,Stellantis,Automobile,4.63,-0.02,6657327,5776301.0,1.15,4.798,4.917,6.698,34.7,3.89,10.49,4.59,5.34,4.61,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-13
STMPA.PA,STMicroelectronics,Technologie,47.67,-0.77,2301624,3499007.0,0.66,47.592,49.454,42.263,40.9,4.5,70.85,18.2,58.3,42.42,,,0,EMA20 > Prix > EMA9 > EMA200,2026-08-13
