ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,,,680408,637654.0,1.07,167.93,169.323,163.85,37.9,,182.26,140.78,175.06,165.36,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
AIR.PA,Airbus,Aéronautique,,,754873,779899.0,0.97,206.11,207.029,189.969,45.3,,221.3,157.42,217.05,202.1,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
ALO.PA,Alstom,Industrie,,,1114459,981798.0,1.14,16.32,16.235,19.215,57.7,,30.23,14.72,17.06,15.75,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-28
MT.AS,ArcelorMittal,Matériaux,,,1297530,1472052.0,0.88,63.158,62.421,50.991,59.0,,65.24,27.64,65.24,59.34,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
CS.PA,AXA,Assurance,,,3139678,2248758.0,1.4,43.812,44.154,41.554,33.5,,45.66,36.55,45.63,42.43,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
BNP.PA,BNP Paribas,Banque,,,2227916,1540792.0,1.45,106.003,107.331,93.477,32.9,,113.82,65.12,113.82,99.93,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
EN.PA,Bouygues,BTP/Télécom,,,740065,539418.0,1.37,45.974,46.791,46.893,27.0,,53.48,35.44,50.2,43.39,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
CAP.PA,Capgemini,Technologie,,,351399,463949.0,0.76,108.802,106.71,109.87,58.1,,153.05,85.62,111.85,103.9,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-28
CA.PA,Carrefour,Distribution,,,1603995,1608726.0,1.0,15.82,15.872,15.487,42.1,,17.53,11.94,16.12,15.52,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
ACA.PA,Crédit Agricole,Banque,,,4190061,4451778.0,0.94,19.055,19.131,17.527,34.9,,20.4,15.3,20.4,18.18,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
BN.PA,Danone,Agroalimentaire,,,1196999,1044931.0,1.15,65.863,66.876,69.212,34.3,,80.14,60.64,69.06,64.14,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
DSY.PA,Dassault Systèmes,Technologie,,,1323085,1780585.0,0.74,22.407,21.742,21.312,69.5,,30.36,15.82,23.18,20.29,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
EDEN.PA,Edenred,Services,,,547216,471383.0,1.16,29.613,28.787,23.379,71.5,,30.85,15.23,30.85,27.61,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
ENGI.PA,Engie,Énergie,,,3340985,3075607.0,1.09,25.165,25.694,25.357,27.3,,29.89,17.2,27.41,23.91,,,0,Prix > EMA20 > EMA200 > EMA9,2026-08-28
EL.PA,EssilorLuxottica,Santé/Optique,,,856329,657054.0,1.3,161.036,163.496,201.539,36.3,,323.8,156.15,176.6,156.15,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
ERF.PA,Eurofins Scientific,Santé,,,275066,185632.0,1.48,72.31,71.112,65.249,64.2,,74.62,54.86,74.62,67.44,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
RMS.PA,Hermès,Luxe,,,94881,77261.0,1.23,1566.766,1581.12,1790.699,45.7,,2300.0,1465.5,1663.5,1520.0,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
KER.PA,Kering,Luxe,,,270683,276373.0,0.98,255.652,260.807,259.659,42.1,,354.2,225.1,293.5,246.4,,,0,Prix > EMA20 > EMA200 > EMA9,2026-08-28
OR.PA,L'Oréal,Cosmétiques,,,296828,278662.0,1.07,385.514,384.367,375.757,51.0,,407.85,338.85,397.25,367.5,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
LR.PA,Legrand,Industrie,,,500132,452804.0,1.1,136.421,136.92,138.163,47.8,,166.95,121.95,143.8,130.8,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
MC.PA,LVMH,Luxe,,,467296,433037.0,1.08,453.699,460.786,503.058,40.1,,654.7,440.0,496.35,442.5,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
ML.PA,Michelin,Industrie,,,1121046,1382111.0,0.81,34.649,34.586,32.424,47.8,,35.72,25.51,35.48,33.82,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
ORA.PA,Orange,Télécom,,,8056883,4637077.0,1.74,15.827,16.064,16.16,30.2,,18.81,13.07,16.74,14.8,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
RI.PA,Pernod Ricard,Boissons,,,921624,626400.0,1.47,67.418,67.558,71.328,38.7,,100.55,58.6,71.14,62.02,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
PUB.PA,Publicis,Communication,,,637579,601625.0,1.06,101.845,99.515,86.845,61.0,,104.85,68.14,104.85,92.76,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
RNO.PA,Renault,Automobile,,,2023590,1235442.0,1.64,28.141,28.047,30.234,54.3,,37.97,24.66,29.63,26.96,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-28
SAF.PA,Safran,Aéronautique,,,492943,410261.0,1.2,347.354,347.888,313.501,47.2,,366.5,262.6,366.5,338.9,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
SGO.PA,Saint-Gobain,Matériaux,,,788072,934402.0,0.84,81.153,81.084,80.852,45.8,,95.86,65.88,87.18,79.22,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
SAN.PA,Sanofi,Santé,,,1056025,1643986.0,0.64,77.73,77.085,79.002,52.0,,91.15,71.25,79.36,73.63,,,0,Prix > EMA200 > EMA9 > EMA20,2026-08-28
SU.PA,Schneider Electric,Industrie,,,658116,716552.0,0.92,297.469,294.91,264.763,55.0,,312.3,212.6,312.3,283.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
GLE.PA,Société Générale,Banque,,,2424115,1689421.0,1.43,76.006,77.899,69.782,24.8,,84.82,51.98,84.82,70.29,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
STLAP.PA,Stellantis,Automobile,,,4772108,6245418.0,0.76,4.545,4.662,6.496,44.1,,10.49,4.38,5.16,4.38,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
STMPA.PA,STMicroelectronics,Technologie,,,1500143,2561022.0,0.59,43.815,45.841,42.444,38.7,,70.85,18.2,49.59,41.99,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
TEP.PA,Teleperformance,Services,,,231853,325360.0,0.71,70.541,68.245,61.705,62.5,,78.14,43.65,72.64,63.76,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
HO.PA,Thales,Défense,,,182257,210774.0,0.86,253.801,254.302,241.14,42.3,,279.3,212.6,274.2,244.7,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
TTE.PA,TotalEnergies,Énergie,,,2508613,2999512.0,0.84,75.782,75.483,69.496,45.5,,81.34,49.24,78.88,73.57,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
URW.PA,Unibail-Rodamco-Westfield,Immobilier,,,224252,206548.0,1.09,102.177,102.883,98.07,28.0,,106.65,85.6,106.2,98.34,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
VIE.PA,Veolia,Environnement,,,1227835,1414201.0,0.87,33.811,34.35,33.685,26.8,,37.66,27.43,35.63,32.46,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
DG.PA,Vinci,BTP,,,868163,833475.0,1.04,118.991,120.364,123.901,31.1,,143.15,112.4,127.75,113.6,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
VIV.PA,Vivendi,Médias,,,2366276,3101041.0,0.76,1.66,1.703,2.251,36.1,,3.21,1.56,1.73,1.6,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
ATO.PA,Atos,Technologie,,,65899,73276.0,0.9,28.819,29.582,45.697,37.1,,63.24,27.68,32.84,27.92,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
SOI.PA,Soitec,Semi-conducteurs,,,128910,262349.0,0.49,112.138,113.641,91.511,47.0,,200.5,22.62,135.4,101.15,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
NANO.PA,Nanobiotix,Biotech,,,215914,150999.0,1.43,36.038,35.218,27.538,59.9,,47.66,7.02,39.98,31.94,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
ADOC.PA,Adocia,Biotech,,,31732,86669.0,0.37,4.071,4.073,5.09,46.3,,12.4,3.61,4.3,3.87,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
BVI.PA,Bureau Veritas,Services,,,785463,803288.0,0.98,27.628,27.662,27.189,46.1,,30.18,24.58,28.99,27.26,,,4,Prix > EMA20 > EMA9 > EMA200,2026-08-28
CO.PA,Casino Guichard,Distribution,,,178048,331370.0,0.54,0.186,0.189,0.278,44.2,,0.56,0.15,0.22,0.18,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
COFA.PA,Coface,Assurance,,,245240,148417.0,1.65,15.953,15.946,15.635,47.4,,16.66,14.02,16.29,15.7,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
GET.PA,Getlink,Transport,,,446520,614711.0,0.73,18.953,18.852,17.951,43.3,,19.85,15.02,19.54,18.26,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-28
ICAD.PA,Icade,Immobilier,,,50621,97165.0,0.52,18.812,18.963,20.136,38.3,,22.76,18.09,19.84,18.27,,,0,Prix > EMA200 > EMA20 > EMA9,2026-08-28
