ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,172.38,-0.48,606001,795915.0,0.76,172.88,173.472,163.158,47.4,1.33,182.26,140.78,178.62,169.24,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-07
AIR.PA,Airbus,Aéronautique,213.6,0.54,694849,1063533.0,0.65,210.198,205.811,187.099,62.7,2.17,221.3,157.42,217.05,190.9,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-07
ALO.PA,Alstom,Industrie,16.66,-1.57,546750,1249744.0,0.44,16.508,16.271,19.661,57.2,2.57,30.23,14.72,17.05,15.03,,,0,EMA200 > Prix > EMA9 > EMA20,2026-08-07
MT.AS,ArcelorMittal,Matériaux,62.98,-1.38,1692330,1782022.0,0.95,62.043,60.212,49.151,62.7,3.36,65.24,27.42,65.24,56.14,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-07
CS.PA,AXA,Assurance,45.05,0.0,2215496,2456056.0,0.9,44.901,44.649,41.143,61.4,1.34,45.66,36.55,45.66,43.63,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-07
BNP.PA,BNP Paribas,Banque,112.44,-0.14,1324287,1689025.0,0.78,110.536,107.723,91.22,71.4,1.92,113.62,65.12,113.62,99.63,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-07
EN.PA,Bouygues,BTP/Télécom,48.64,-1.12,367241,642874.0,0.57,48.611,48.325,46.924,52.0,2.01,53.48,35.39,50.2,46.0,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-07
CAP.PA,Capgemini,Technologie,109.25,0.0,498919,785201.0,0.64,105.214,100.432,110.024,68.2,4.31,153.05,85.62,111.85,85.62,,,0,EMA200 > Prix > EMA9 > EMA20,2026-08-07
CA.PA,Carrefour,Distribution,15.77,-0.97,1748065,2174855.0,0.8,15.919,16.067,15.435,43.1,2.06,17.53,11.94,16.91,15.22,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-07
ACA.PA,Crédit Agricole,Banque,19.6,0.75,2592650,4108004.0,0.63,19.171,18.686,17.231,74.5,1.63,19.78,15.29,19.78,17.4,,,7,Prix > EMA9 > EMA20 > EMA200,2026-08-07
