ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,167.04,0.13,770128,706430.0,1.09,169.452,171.229,163.373,35.6,1.17,182.26,140.78,178.12,166.4,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-18
AIR.PA,Airbus,Aéronautique,209.8,-2.08,771801,980226.0,0.79,212.426,209.524,188.675,53.7,1.71,221.3,157.42,217.05,190.9,,,4,EMA9 > Prix > EMA20 > EMA200,2026-08-18
ALO.PA,Alstom,Industrie,15.8,-1.71,991711,1119115.0,0.89,16.164,16.189,19.427,43.4,2.26,30.23,14.72,17.05,15.3,baissier,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-18
MT.AS,ArcelorMittal,Matériaux,61.74,-2.5,1353176,1587195.0,0.85,62.965,61.729,49.931,53.2,3.05,65.24,27.42,65.24,56.78,,,4,EMA9 > Prix > EMA20 > EMA200,2026-08-18
CS.PA,AXA,Assurance,44.55,-0.13,2426164,2271094.0,1.07,44.758,44.669,41.326,51.1,1.17,45.66,36.55,45.66,44.26,,,0,EMA9 > EMA20 > Prix > EMA200,2026-08-18
BNP.PA,BNP Paribas,Banque,109.4,-1.57,1535601,1609438.0,0.95,111.064,109.432,92.316,54.5,1.54,113.82,65.12,113.82,103.18,,,0,EMA9 > EMA20 > Prix > EMA200,2026-08-18
EN.PA,Bouygues,BTP/Télécom,46.65,-1.69,591124,549366.0,1.08,47.609,47.855,46.939,39.5,1.85,53.48,35.39,50.2,46.0,,,0,EMA20 > EMA9 > EMA200 > Prix,2026-08-18
CAP.PA,Capgemini,Technologie,107.3,1.08,346782,687559.0,0.5,106.643,103.608,110.095,59.5,3.48,153.05,85.62,111.85,85.62,,,0,EMA200 > Prix > EMA9 > EMA20,2026-08-18
CA.PA,Carrefour,Distribution,15.9,1.5,1617495,2028617.0,0.8,15.8,15.915,15.443,48.1,1.43,17.53,11.94,16.91,15.22,,,0,EMA20 > Prix > EMA9 > EMA200,2026-08-18
ACA.PA,Crédit Agricole,Banque,19.67,-1.97,3813958,4096697.0,0.93,19.807,19.315,17.395,62.7,1.52,20.4,15.29,20.4,17.93,,,4,EMA9 > Prix > EMA20 > EMA200,2026-08-18
BN.PA,Danone,Agroalimentaire,65.48,0.37,1144191,1341566.0,0.85,67.011,68.172,69.446,35.3,1.84,80.14,60.64,72.86,64.84,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-18
DSY.PA,Dassault Systèmes,Technologie,21.9,2.48,2347329,2055658.0,1.14,21.484,20.852,21.257,62.7,2.86,30.36,15.82,22.43,17.56,,,0,Prix > EMA9 > EMA200 > EMA20,2026-08-18
EDEN.PA,Edenred,Services,28.19,0.43,354123,683813.0,0.52,28.207,27.709,22.919,58.7,2.34,29.5,15.23,29.5,25.16,,,4,EMA9 > Prix > EMA20 > EMA200,2026-08-18
ENGI.PA,Engie,Énergie,25.65,0.12,3913356,2933085.0,1.33,26.025,26.362,25.343,38.1,2.01,29.89,17.2,27.93,25.44,,,2,EMA20 > EMA9 > Prix > EMA200,2026-08-18
EL.PA,EssilorLuxottica,Santé/Optique,163.9,2.57,646674,724080.0,0.89,165.134,166.641,204.478,44.3,3.08,323.8,159.2,176.6,159.2,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-08-18
ERF.PA,Eurofins Scientific,Santé,69.66,-0.49,176877,216505.0,0.82,69.761,69.273,64.602,54.9,1.56,74.32,54.86,71.14,64.56,,,4,EMA9 > Prix > EMA20 > EMA200,2026-08-18
